task,trialCode,oracion,target,visual1,visual2,visual3,visual4,trialType
ReadSINT,RdSIN_T_01,EL CONEJO ESTÁ SALTANDO SOBRE EL GATO,012,011,012,013,014,2
ReadSINT,RdSIN_T_02,LA MUJER ESTÁ BESANDO A LA NIÑA,022,021,022,023,024,2
ReadSINT,RdSIN_T_03,EL ELEFANTE ESTÁ ASUSTANDO AL RATÓN,031,031,032,033,034,2
ReadSINT,RdSIN_T_04,EL POLICÍA ES PERSEGUIDO POR EL LADRÓN,041,041,042,043,044,2
ReadSINT,RdSIN_T_05,A LA NIÑA LA REZONGA EL PAPÁ,054,051,052,053,054,2
ReadSINT,RdSIN_T_06,EL CAMIÓN QUE TIENE LA CABINA ROJA ESTÁ SIGUIENDO AL AUTO,061,061,062,063,064,2
ReadSINT,RdSIN_T_07,AL GENERAL LO SALUDA EL SOLDADO CON GORRO ROJO,074,071,072,073,074,2
ReadSINT,RdSIN_T_08,EL MÉDICO ES SALVADO POR EL POLICÍA,083,081,082,083,084,2
ReadSINT,RdSIN_T_09,EL BOMBERO QUE LLEVA UN TRAJE AZUL MOJA AL PAYASO,091,091,092,093,094,2
ReadSINT,RdSIN_T_10,EL PERRO ESTÁ MORDIENDO AL MONO,104,101,102,103,104,2
ReadSINT,RdSIN_T_11,EL NIÑO QUE ES HAMACADO POR LA NIÑA LLEVA UN PANTALÓN AZUL,112,111,112,113,114,2
ReadSINT,RdSIN_T_12,EL LOBO ES ENGAÑADO POR CAPERUCITA,121,121,122,123,124,2
ReadSINT,RdSIN_T_13,AL NIÑO LO ESTÁ ACARICIANDO EL ANCIANO,132,131,132,133,134,2
ReadSINT,RdSIN_T_14,EL PÁJARO ESTÁ MIRANDO A LA SERPIENTE,143,141,142,143,144,2
ReadSINT,RdSIN_T_15,AL GATO LO ATACA EL RATÓN,152,151,152,153,154,2
ReadSINT,RdSIN_T_16,EL HOMBRE ES FOTOGRAFIADO POR LA MUJER,164,161,162,163,164,2
ReadSINT,RdSIN_T_17,EL PERRO QUE LLEVA LA LENGUA FUERA ES PERSEGUIDO POR EL TORO NEGRO,174,171,172,173,174,2
