task,1,2,3,4,5,6,numEl,trialType,taskPos,trialPos,resp,acierto,RT,session
STMorder,sol,pan,tren,,,,3,0,,,,,,
STMorder,sol,tren,rey,pan,,,4,0,,,,,,
STMorder,tren,pan,sol,,,,3,1,,,,,,
STMorder,pan,sol,tren,,,,3,1,,,,,,
STMorder,sol,tren,,,,,2,2,,,,,,
STMorder,tren,sol,,,,,2,2,,,,,,
STMorder,tren,pan,sol,,,,3,2,,,,,,
STMorder,pan,sol,tren,,,,3,2,,,,,,
STMorder,tren,sol,pan,,,,3,2,,,,,,
STMorder,sol,rey,pan,tren,,,4,2,,,,,,
STMorder,rey,sol,tren,pan,,,4,2,,,,,,
STMorder,tren,rey,sol,pan,,,4,2,,,,,,
STMorder,flor,sol,rey,tren,pan,,5,2,,,,,,
STMorder,tren,pan,sol,rey,flor,,5,2,,,,,,
STMorder,flor,pan,sol,tren,rey,,5,2,,,,,,
STMorder,tren,flor,sol,pez,pan,rey,6,2,,,,,,
STMorder,pan,flor,pez,rey,tren,sol,6,2,,,,,,
STMorder,pez,rey,tren,pan,sol,flor,6,2,,,,,,
