task,trialCode,target,visual1,visual2,visual3,visual4,visual5,visual1,corrResp,corrResp,numSyll,numPhon,struct,syllPos,trialType,audio1,audio2,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session,
WIPPSI,IQ_E_01,0A2,0A,0A1,0A2,0A3,0A4,NA,2,0A2,NA,NA,NA,NA,0,NA,NA,,,,,,,,,
WIPPSI,IQ_P_01,0B3,0B,0B1,0B2,0B3,0B4,NA,3,0B3,NA,NA,NA,NA,1,NA,NA,,,,,,,,,
WIPPSI,IQ_P_02,0C1,0C,0C1,0C2,0C3,0C4,NA,1,0C1,NA,NA,NA,NA,1,NA,NA,,,,,,,,,
WIPPSI,IQ_T_01,11,10,11,12,13,14,NA,1,11,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_02,22,20,21,22,23,24,NA,2,22,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_03,33,30,31,32,33,34,NA,3,33,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_04,44,40,41,42,43,44,NA,4,44,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_05,51,50,51,52,53,54,NA,1,51,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_06,61,60,61,62,63,64,NA,1,61,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_07,73,70,71,72,73,74,NA,3,73,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_08,84,80,81,82,83,84,NA,4,84,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_09,92,90,91,92,93,94,NA,2,92,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_10,104,100,101,102,103,104,NA,4,104,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_11,113,110,111,112,113,114,NA,3,113,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_12,123,120,121,122,123,124,NA,3,123,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_13,132,130,131,132,133,134,NA,2,132,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_14,142,140,141,142,143,144,NA,2,142,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_15,151,150,151,152,153,154,NA,1,151,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_16,162,160,161,162,163,164,NA,2,162,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_17,174,170,171,172,173,174,NA,4,174,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_18,183,180,181,182,183,184,185,3,183,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_19,194,190,191,192,193,194,195,4,194,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_20,201,200,201,202,203,204,205,1,201,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_21,215,210,211,212,213,214,215,5,215,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_22,222,220,221,222,223,224,225,2,222,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_23,234,230,231,232,233,234,235,4,234,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_24,244,240,241,242,243,244,245,4,244,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_25,253,250,251,252,253,254,255,3,253,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_26,263,260,261,262,263,264,265,3,263,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_27,275,270,271,272,273,274,275,5,275,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_28,281,280,281,282,283,284,285,1,281,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
WIPPSI,IQ_T_29,292,290,291,292,293,294,295,2,292,NA,NA,NA,NA,2,NA,NA,,,,,,,,,
