task,trialCode,target,visual1,visual2,visual3,visual4,corrResp,numSyll,numPhon,struct,syllPos,trialType,audio1,audio2,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session
blendingP,BP_E_01,gorro,gorro,gota,saco,silla,gorro,2,4,CV,NA,0,gorro_f,NA,,,,,,,,
blendingP,BP_E_02,fresa,fresa,freno,NA,brazo,fresa,2,5,CCV,NA,0,fresa_f,NA,,,,,,,,
blendingP,BP_P_01,sopa,sopa,ropa,jugo,cena,sopa,2,4,CV,NA,1,sopa_f,NA,,,,,,,,
blendingP,BP_P_02,plato,plato,plaza,NA,bruja,plato,2,5,CCV,NA,1,plato_f,NA,,,,,,,,
blendingP,BP_P_03,rodilla,rodilla,ropero,barriga,juguete,rodilla,3,6,CV,NA,1,rodilla_f,NA,,,,,,,,
blendingP,BP_T_01,rata,rata,rayo,sapo,faro,rata,2,4,CV,NA,2,rata_f,NA,,,,,,,,
blendingP,BP_T_02,codo,codo,copa,mano,luna,codo,2,4,CV,NA,2,codo_f,NA,,,,,,,,
blendingP,BP_T_03,boca,boca,bote,ceja,cine,boca,2,4,CV,NA,2,boca_f,NA,,,,,,,,
blendingP,BP_T_04,pato,pato,palo,foca,lupa,pato,2,4,CV,NA,2,pato_f,NA,,,,,,,,
blendingP,BP_T_05,papel,papel,patio,sobre,raton,papel,2,5,CV,NA,2,papel_f,NA,,,,,,,,
blendingP,BP_T_06,regla,regla,reloj,lapiz,cabra,regla,2,5,CV,NA,2,regla_f,NA,,,,,,,,
blendingP,BP_T_07,limon,limon,libro,melon,collar,limon,2,5,CV,NA,2,limon_f,NA,,,,,,,,
blendingP,BP_T_08,cajon,cajon,cable,cofre,letra,cajon,2,5,CV,NA,2,cajon_f,NA,,,,,,,,
blendingP,BP_T_09,grillo,grillo,gripe,NA,trebol,grillo,2,5,CCV,NA,2,grillo_f,NA,,,,,,,,
blendingP,BP_T_10,flecha,flecha,fleco,NA,preso,flecha,2,5,CCV,NA,2,flecha_f,NA,,,,,,,,
blendingP,BP_T_11,clavo,clavo,clase,NA,pluma,clavo,2,5,CCV,NA,2,clavo_f,NA,,,,,,,,
blendingP,BP_T_12,trapo,trapo,traje,NA,flaco,trapo,2,5,CCV,NA,2,trapo_f,NA,,,,,,,,
blendingP,BP_T_13,bigote,bigote,billete,cabeza,panera,bigote,3,6,CV,NA,2,bigote_f,NA,,,,,,,,
blendingP,BP_T_14,zapato,zapato,zapallo,camisa,paleta,zapato,3,6,CV,NA,2,zapato_f,NA,,,,,,,,
blendingP,BP_T_15,gallina,gallina,galleta,conejo,tijera,gallina,3,6,CV,NA,2,gallina_f,NA,,,,,,,,
blendingP,BP_T_16,botella,botella,bocina,tetera,laguna,botella,3,6,CV,NA,2,botella_f,NA,,,,,,,,
