task ,trialCode,target,offset,dur1,onsetMask,inPhase,corrResp,trialType,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session
visE,VE_E_01,1,6,1,8,0,1,0,,,,,,,,
visE,VE_E_02,0,4,1,6,-1,0,0,,,,,,,,
visE,VE_P_01,1,4,1,6,-1,1,1,,,,,,,,
visE,VE_P_02,0,8,1,10,1,0,1,,,,,,,,
visE,VE_P_03,1,6,1,8,0,1,1,,,,,,,,
visE,VE_T_01,1,6,1,8,0,1,2,,,,,,,,
visE,VE_T_02,1,8,1,10,1,1,2,,,,,,,,
visE,VE_T_03,1,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_04,1,6,1,8,0,1,2,,,,,,,,
visE,VE_T_05,1,8,1,10,1,1,2,,,,,,,,
visE,VE_T_06,1,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_07,1,6,1,8,0,1,2,,,,,,,,
visE,VE_T_08,1,8,1,10,1,1,2,,,,,,,,
visE,VE_T_09,1,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_10,1,6,1,8,0,1,2,,,,,,,,
visE,VE_T_11,1,8,1,10,1,1,2,,,,,,,,
visE,VE_T_12,1,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_13,1,6,1,8,0,1,2,,,,,,,,
visE,VE_T_14,1,8,1,10,1,1,2,,,,,,,,
visE,VE_T_15,1,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_16,1,6,1,8,0,1,2,,,,,,,,
visE,VE_T_17,1,8,1,10,1,1,2,,,,,,,,
visE,VE_T_18,1,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_19,1,6,1,8,0,1,2,,,,,,,,
visE,VE_T_20,1,8,1,10,1,1,2,,,,,,,,
visE,VE_T_21,1,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_22,2,6,1,8,0,1,2,,,,,,,,
visE,VE_T_23,2,8,1,10,1,1,2,,,,,,,,
visE,VE_T_24,2,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_25,2,6,1,8,0,1,2,,,,,,,,
visE,VE_T_26,2,8,1,10,1,1,2,,,,,,,,
visE,VE_T_27,2,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_28,2,6,1,8,0,1,2,,,,,,,,
visE,VE_T_29,2,8,1,10,1,1,2,,,,,,,,
visE,VE_T_30,2,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_31,2,6,1,8,0,1,2,,,,,,,,
visE,VE_T_32,2,8,1,10,1,1,2,,,,,,,,
visE,VE_T_33,2,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_34,2,6,1,8,0,1,2,,,,,,,,
visE,VE_T_35,2,8,1,10,1,1,2,,,,,,,,
visE,VE_T_36,2,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_37,2,6,1,8,0,1,2,,,,,,,,
visE,VE_T_38,2,8,1,10,1,1,2,,,,,,,,
visE,VE_T_39,2,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_40,2,6,1,8,0,1,2,,,,,,,,
visE,VE_T_41,2,8,1,10,1,1,2,,,,,,,,
visE,VE_T_42,2,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_43,3,6,1,8,0,1,2,,,,,,,,
visE,VE_T_44,3,8,1,10,1,1,2,,,,,,,,
visE,VE_T_45,3,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_46,3,6,1,8,0,1,2,,,,,,,,
visE,VE_T_47,3,8,1,10,1,1,2,,,,,,,,
visE,VE_T_48,3,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_49,3,6,1,8,0,1,2,,,,,,,,
visE,VE_T_50,3,8,1,10,1,1,2,,,,,,,,
visE,VE_T_51,3,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_52,3,6,1,8,0,1,2,,,,,,,,
visE,VE_T_53,3,8,1,10,1,1,2,,,,,,,,
visE,VE_T_54,3,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_55,3,6,1,8,0,1,2,,,,,,,,
visE,VE_T_56,3,8,1,10,1,1,2,,,,,,,,
visE,VE_T_57,3,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_58,3,6,1,8,0,1,2,,,,,,,,
visE,VE_T_59,3,8,1,10,1,1,2,,,,,,,,
visE,VE_T_60,3,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_61,3,6,1,8,0,1,2,,,,,,,,
visE,VE_T_62,3,8,1,10,1,1,2,,,,,,,,
visE,VE_T_63,3,4,1,6,-1,1,2,,,,,,,,
visE,VE_T_64,0,6,1,8,0,0,2,,,,,,,,
visE,VE_T_65,0,8,1,10,1,0,2,,,,,,,,
visE,VE_T_66,0,4,1,6,-1,0,2,,,,,,,,
visE,VE_T_67,0,6,1,8,0,0,2,,,,,,,,
visE,VE_T_68,0,8,1,10,1,0,2,,,,,,,,
visE,VE_T_69,0,4,1,6,-1,0,2,,,,,,,,
visE,VE_T_70,0,6,1,8,0,0,2,,,,,,,,
visE,VE_T_71,0,8,1,10,1,0,2,,,,,,,,
visE,VE_T_72,0,4,1,6,-1,0,2,,,,,,,,
